"id","official_name","aliases","domain","region","accreditation_status","vk_group_id","vk_screen_name","vk_url","is_pilot","source_notes"
"uni_0001","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""","ФГАОУ ВО ""ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"", ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ТЮМГУ|ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""","utmn.ru","Тюменская область","Действующее","29346","tyumen.university","https://vk.com/tyumen.university","false","obrnadzor_accredreestr;vk_browser;vk_primary_verified_2026-07-16"
"uni_0002","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДОНЕЦКАЯ АКАДЕМИЯ ТРАНСПОРТА""","ДОНЕЦКАЯ АКАДЕМИЯ ТРАНСПОРТА|АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДОНЕЦКАЯ АКАДЕМИЯ ТРАНСПОРТА""","","Донецкая Народная Республика","Действующее","","","","false","obrnadzor_accredreestr"
"uni_0003","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МЕДИЦИНСКИЙ УНИВЕРСИТЕТ МГИМО-МЕД""","МГИМО-МЕД|АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""МЕДИЦИНСКИЙ УНИВЕРСИТЕТ МГИМО-МЕД""","","Московская область","Действующее","","","","false","obrnadzor_accredreestr"
"uni_0004","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПОДОЛЬСКИЙ СОЦИАЛЬНО-СПОРТИВНЫЙ ИНСТИТУТ""","АНООВО ""ПССИ""|АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""ПОДОЛЬСКИЙ СОЦИАЛЬНО-СПОРТИВНЫЙ ИНСТИТУТ""","podolsk-ssi.ru","","Действующее","224775408","pssi_pssk","https://vk.com/pssi_pssk","false","obrnadzor_accredreestr;vk_browser"
"uni_0005","Автономная некоммерческая образовательная организация высшего образования ""Свято-Филаретовский институт""","СФИ, Свято-Филаретовский институт|Автономная некоммерческая образовательная организация высшего образования ""Свято-Филаретовский институт""","sfi.ru","г. Москва","Действующее","117974920","sfiru","https://vk.com/sfiru","false","obrnadzor_accredreestr;vk_browser"
"uni_0006","Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»","АНООВО «ЕУСПб»|Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»","eusp.org","г. Санкт-Петербург","Действующее","1659614","eusporg","https://vk.com/eusporg","false","obrnadzor_accredreestr;vk_browser"
"uni_0007","Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»","АНООВО «КИУ»|Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»","kiu39.ru","Калининградская область","Действующее","61389733","kiu39","https://vk.com/kiu39","false","obrnadzor_accredreestr;vk_browser"
"uni_0008","Автономная некоммерческая образовательная организация высшего образования «Кубанский институт профессионального образования»","АНОО ВО «КИПО»|Автономная некоммерческая образовательная организация высшего образования «Кубанский институт профессионального образования»","","Краснодарский край","Действующее","","","","false","obrnadzor_accredreestr"
"uni_0009","Автономная некоммерческая образовательная организация высшего образования «Международная Ветеринарная Академия»","АНО ВО МВА|Автономная некоммерческая образовательная организация высшего образования «Международная Ветеринарная Академия»","","Московская область","Действующее","","","","false","obrnadzor_accredreestr"
"uni_0010","Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»","Международный институт компьютерных технологий|Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»","iict.ru","Воронежская область","Действующее","164852308","iict_vrn","https://vk.com/iict_vrn","false","obrnadzor_accredreestr;vk_browser"
"uni_0011","Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»","АНОО ВО ""СИБИТ""|Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»","sibit.sano.ru","Омская область","Действующее","5522601","sibitvuz","https://vk.com/sibitvuz","false","obrnadzor_accredreestr;vk_browser"
